category,brand,name,description,price,stock,availability_status,utilization_status
Accessories,Anker,Test product - Samsung Charger,A reliable charger with fast charging support.,840119,65,0,0
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1624290,89,1,0
Phones,Samsung,Test product - iPhone 14 Pro,Samsung's flagship phone with a stunning display.,452628,41,1,0
Phones,Samsung,Test product - iPhone 14 Pro,The latest iPhone with state-of-the-art features.,537053,10,1,0
Laptops,HP,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,622523,54,1,0
Phones,Apple,Test product - Samsung Galaxy S24 Ultra,Samsung's flagship phone with a stunning display.,409713,34,0,1
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1966046,46,1,0
Accessories,Samsung,Test product - Samsung Charger,A high-capacity power bank for all your devices.,862408,33,0,0
Accessories,Samsung,Test product - Samsung Charger,A high-capacity power bank for all your devices.,311941,99,0,1
Accessories,Anker,Test product - Samsung Charger,A reliable charger with fast charging support.,1105470,86,0,0
Laptops,Dell,Test product - XPS 13,Apple's latest MacBook Pro with advanced M2 chip.,704008,92,0,0
Laptops,HP,Test product - MacBook Pro 2023,Dell's premium ultrabook with excellent battery life.,620697,98,1,0
Laptops,Dell,Test product - XPS 13,Dell's premium ultrabook with excellent battery life.,631316,60,1,1
Laptops,HP,Test product - EliteBook 840,Apple's latest MacBook Pro with advanced M2 chip.,1163835,45,1,1
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1764444,18,0,0
Console,Sony,Test product - PlayStation 5,The latest PlayStation 5 with ultra-fast SSD.,1159314,24,0,0
Laptops,HP,Test product - XPS 13,A high-performance laptop with top-notch features.,257896,93,0,1
